,geonameid,name,asciiname,latitude,longitude,country code
186776,6630882,Casey Point,Casey Point,-73.45361,68.41833000000001,AQ
186777,6630883,Casey Range,Casey Range,-67.735,62.22,AQ
186778,6630884,"Casey, Cape","Casey, Cape",-66.37496,-63.57101,AQ
186779,6630885,"Casey, Mount","Casey, Mount",-73.71667,165.78333,AQ
186780,6630886,Cassandra Nunatak,Cassandra Nunatak,-64.47459,-63.37028000000001,AQ
186781,6630887,Cassidy Glacier,Cassidy Glacier,-77.76666999999999,160.15,AQ
186782,6630888,Cassini Glacier,Cassini Glacier,-77.88333,163.8,AQ
186783,6630889,"Cassino, Monte","Cassino, Monte",-72.31667,163.66666999999998,AQ
186784,6630890,"Castelli, punta","Castelli, punta",-64.66667,-62.3,AQ
186785,6630891,"Allen, Mount","Allen, Mount",-77.4,162.53333,AQ
186786,6630892,"Castells Ortiz, nunatak","Castells Ortiz, nunatak",-66.18333,-61.583330000000004,AQ
186787,6630893,"Castex, cabo","Castex, cabo",-63.333330000000004,-61.98333,AQ
186788,6630894,Castillo Point,Castillo Point,-75.5,-141.3,AQ
186789,6630895,"Castillo, Nunatak del","Castillo, Nunatak del",-62.65764,-60.289190000000005,AQ
186790,6630896,"Castillo, punta","Castillo, punta",-63.6,-59.73333,AQ
186791,6630897,Castle Bluff,Castle Bluff,-69.39222,76.33111,AQ
186792,6630898,Castle Crags,Castle Crags,-82.01666999999999,159.2,AQ
186793,6630899,Castle Peak,Castle Peak,-66.9915,-65.88439,AQ
186794,6630900,Castle Rock,Castle Rock,-62.7886,-61.58138,AQ
186795,6630901,Castle Rock,Castle Rock,-77.8,166.76667,AQ
186796,6630902,Abrupt Point,Abrupt Point,-66.90222,56.71,AQ
186797,6630903,"Allen, Mount","Allen, Mount",-78.71667,-84.93333,AQ
186798,6630904,Castor and Pollux,Castor and Pollux,-69.39389,76.40194,AQ
186799,6630905,Castorinsel,Castorinsel,-65.1662,-59.937,AQ
186800,6630906,"Castor, Ilot","Castor, Ilot",-66.66,140.01889,AQ
186801,6630907,"Castro, Mount","Castro, Mount",-69.33346999999999,-66.03949,AQ
186802,6630908,"Castro, nunatak","Castro, nunatak",-66.13333,-61.03333000000001,AQ
186803,6630909,"Casy, roca","Casy, roca",-63.23645,-57.50516999999999,AQ
186804,6630910,Cat Island,Cat Island,-65.77796,-65.21946,AQ
186805,6630911,Cat Lake,Cat Lake,-68.575,78.27889,AQ
186806,6630912,Cat Ridge,Cat Ridge,-71.166,-61.816,AQ
186807,6630913,Catacomb Hill,Catacomb Hill,-78.06667,163.41666999999998,AQ
186808,6630914,Alley Spur,Alley Spur,-82.54191,-51.75607,AQ
186809,6630915,Catacomb Ridge,Catacomb Ridge,-78.08333,163.4,AQ
186810,6630916,"Catalán, Islotes","Catalan, Islotes",-62.51667,-59.683330000000005,AQ
186811,6630917,Cataract Canyon,Cataract Canyon,-68.60528000000001,78.56111,AQ
186812,6630918,Catenary Nunatak,Catenary Nunatak,-77.98333000000001,160.51667,AQ
186813,6630919,"Varoli, Punta","Varoli, Punta",-62.32816999999999,-59.620540000000005,AQ
